Siruta,Localitate,Judet,procent
73013,Macesu De Sus,dj,53.353658536585364
80677,Lelesti,gj,53.288590604026844
140084,Babeni,sj,53.10136157337367
125374,Slatioara,ot,53.100950656405615
77509,Varlezi,gl,53.026315789473685
159516,Bucovat,tm,52.87485907553551
87246,Banita,hd,52.83400809716599
152412,Calmatuiu,tr,52.80276816608997
116723,Faragau,ms,52.79552715654952
107083,Asuaju De Sus,mm,52.79441117764471
56265,Borsa,cj,52.75519421860885
51243,Armenis,cs,52.69582909460834
141134,Galgau,sj,52.65986029016658
142774,Surduc,sj,52.62983790936156
134390,Plopu,ph,52.54323499491353
141376,Hereclean,sj,52.476780185758514
175224,Barsesti,vn,52.467532467532465
153623,Plopii-Slavitesti,tr,52.46241575946086
28816,Copacel,bh,52.458033573141485
175983,Dumitresti,vn,52.36486486486486
142854,Samsud,sj,52.325581395348834
171469,Milcoiu,vl,52.3121387283237
29902,Lugasu De Jos,bh,52.30769230769231
57449,Cornesti,cj,52.28699551569507
101378,Bucsani,gr,52.28018971178402
74907,Ghidici,dj,52.26537216828479
112469,Izvoru Barzii,mh,52.249890782000875
10239,Brazii,ar,52.18718209562564
170444,Gusoeni,vl,52.170138888888886
29813,Lazareni,bh,52.11864406779661
152724,Didesti,tr,52.103559870550164
29243,Draganesti,bh,52.08591491119372
127563,Milcov,ot,52.00314218381775
32179,Sannicolau Roman,bh,52.00225606316977
8229,Vadu Motilor,ab,51.956323930846224
141081,Fildu De Jos,sj,51.94931773879142
90066,Lelese,hd,51.92307692307692
63326,Gradina,ct,51.894374282433986
46251,Cilibia,bz,51.88933873144399
82617,Oras Turceni,gj,51.84797246745474
111685,Floresti,mh,51.838235294117645
104421,Nuci,if,51.81653042688465
180037,Boghis,sj,51.801495581237255
54270,Teregova,cs,51.79344465058751
91937,Valisoara,hd,51.79282868525896
27935,Bulz,bh,51.73836181496759
89954,Lapugiu De Jos,hd,51.73383317713215
28889,Cristioru De Jos,bh,51.69491525423729
142952,Valcau De Jos,sj,51.63800163800164
28139,Capalna,bh,51.596638655462186
69964,Bucovat,dj,51.578947368421055
46439,Colti,bz,51.570048309178745
104582,Petrachioaia,if,51.54011461318051
52954,Goruia,cs,51.52439024390244
112904,Dubova,mh,51.477832512315274
73905,Rast,dj,51.43859649122807
152868,Draganesti De Vede,tr,51.42348754448398
7044,Salistea,ab,51.422550052687036
30470,Pomezeu,bh,51.39275766016713
174511,Lacusteni,vl,51.37111517367459
81754,Sacelu,gj,51.36702568351284
61167,Cerchezu,ct,51.34383688600556
120511,Bereni,ms,51.343283582089555
91330,Soimus,hd,51.34138162307176
63161,Dumbraveni,ct,51.31264916467781
153829,Putineiu,tr,51.3049013367282
27007,Oras Vascau,bh,51.28073770491803
9832,Archis,ar,51.241721854304636
56014,Belis,cj,51.228389444949954
44934,Balta Alba,bz,51.217038539553755
102106,Comana,gr,51.16585182399398
138869,Socond,sm,51.08421583459405
126077,Bucinisu,ot,51.07458912768647
84102,Carta,hr,50.99513489606369
103372,Gostinari,gr,50.89334055224689
173132,Stanesti,vl,50.857142857142854
16454,Domnesti,ag,50.81143740340031
88350,Blajeni,hd,50.7531865585168
128436,Priseaca,ot,50.70842654735272
3805,Cergau,ab,50.705329153605014
113607,Svinita,mh,50.70242656449553
