Cod Siruta,Localitate,Partid majoritar
17398,Mirosi,PSD
17423,Moraresti,PSD
17496,Mosoaia,PSD
17575,Mozaceni,PSD
17619,Musatesti,PSD
17726,Negrasi,PSD
17771,Nucsoara,PSD
17824,Oarja,PSD
17851,Pietrosani,PSD
17913,Poienarii De Arges,PSD
17968,Poienarii De Muscel,PSD
18028,Poiana Lacului,PSD
18162,Popesti,PSD
18242,Priboieni,PSD
18331,Ratesti,PSD
18411,Recea,PSD
18475,Rociu,PSD
18527,Rucar,PSD
18554,Salatrucu,PSD
18581,Sapata,PSD
18670,Schitu Golesti,PSD
18741,Slobozia,PSD
18778,Stalpeni,PSD
18858,Stoenesti,PSD
18938,Stolnici,PSD
19007,Suseni,PSD
19114,Stefan Cel Mare,PSD
19141,Suici,PSD
19212,Teiu,PSD
19249,Tigveni,PSD
19338,Titesti,PSD
19392,Uda,PSD
19560,Ungheni,PSD
19631,Valea Danului,PSD
19695,Valea Iasului,PSD
19793,Vedea,PSD
19999,Vladesti,PSD
20048,Raca,PSD
20055,Vulturesti,PSD
20063,Bughea De Sus,PNL
20297,Municipiul Bacau,PSD
20313,Hemeius,PNL
20359,Letea Veche,PSD
20411,Magura,PNL
20466,Margineni,PSD
20563,Municipiul Onesti,PSD
20607,Gura Vaii,PSD
20670,Stefan Cel Mare,PSD
20778,Oras Buhusi,PSD
20821,Oras Comanesti,PSD
20876,Municipiul Moinesti,PSD
20910,Oras Slanic-Moldova,PNL
20965,Oras Targu Ocna,PSD
21007,Agas,PSD
21098,Ardeoani,PNL
21123,Asau,PSD
21196,Balcani,PSD
21249,Beresti-Bistrita,PSD
21338,Beresti-Tazlau,PSD
21418,Berzunti,PSD
21454,Barsanesti,PSD
21506,Blagesti,PSD
21560,Bogdanesti,PSD
21597,Brusturoasa,PSD
21668,Buhoci,PNL
21720,Casin,PSD
21757,Caiuti,PSD
21855,Cleja,PNL
21891,Colonesti,PSD
21971,Corbasca,PSD
22059,Cotofanesti,PSD
22111,Damienesti,PSD
22166,Oras Darmanesti,PNL
22237,Dealu Morii,PSD
22380,Dofteana,PSD
22460,Faraoani,USR_PLUS
22488,Filipeni,PSD
22576,Filipesti,PNL
22665,Gaiceana,PNL
22718,Ghimes-Faget,UDMR
22781,Garleni,USR_PLUS
22834,Glavanesti,PNL
22898,Helegiu,PSD
22941,Horgesti,PSD
23047,Huruiesti,PSD
23127,Izvoru Berheciului,PMP
23207,Lipova,PSD
23289,Livezi,PSD
23350,Luizi-Calugara,PNL
23387,Magiresti,PNL
23449,Manastirea Casin,PSD
23494,Motoseni,PSD
