uat_siruta,nr_alegatori,nr_voturi,PMP,PSD,PNL,USR_PLUS,PRO_ROMANIA,AUR,UDMR
151683,23407,5880,166,2734,1579,492,381,289.0,23
151709,1423,722,18,265,329,24,16,13.0,1
151736,4247,1294,26,743,288,50,60,71.0,6
151763,2217,735,34,255,322,28,25,42.0,1
151790,41991,11009,427,5291,2571,1315,581,437.0,30
151816,3143,1014,25,410,414,44,31,44.0,5
151834,4080,1691,18,932,464,83,75,63.0,4
151870,25259,6089,193,3083,1123,862,216,321.0,36
151905,9255,3345,88,1506,969,326,107,243.0,12
151932,1258,589,14,172,319,30,13,33.0,1
151978,12327,3517,89,1900,714,304,132,251.0,15
151996,1473,756,11,272,357,12,32,35.0,1
152038,2417,764,19,283,373,8,17,41.0,1
152083,3116,1264,20,927,124,40,22,97.0,3
152127,1974,964,17,723,103,20,29,35.0,3
152172,4416,1880,6,610,1189,26,12,23.0,0
152234,3290,1367,19,275,998,16,17,20.0,2
152252,2409,1056,31,332,554,35,24,25.0,7
152270,865,310,8,158,70,40,8,19.0,0
152314,1539,627,12,191,312,40,28,20.0,7
152332,3740,1474,20,360,944,23,35,46.0,11
152350,2996,1606,6,455,1028,15,26,31.0,4
152412,1624,747,26,155,432,12,74,22.0,0
152467,1800,682,9,200,415,17,9,20.0,2
152500,2448,596,5,228,252,17,21,53.0,3
152528,2177,696,16,302,232,17,71,33.0,2
152564,2849,1196,24,367,571,33,98,36.0,6
152582,2150,1127,46,179,828,18,12,32.0,2
152617,2208,633,24,238,278,11,35,30.0,3
152662,1751,1081,7,883,118,14,13,25.0,1
152724,994,461,21,128,249,4,4,23.0,1
152760,3555,941,22,309,426,65,28,53.0,4
152797,1369,433,4,254,101,29,13,17.0,3
152868,1916,838,11,225,497,38,11,25.0,5
152902,3916,1853,14,244,1498,16,15,19.0,7
152948,2824,914,14,375,427,28,24,16.0,4
152993,1751,766,12,464,158,13,50,41.0,5
153026,2192,1040,13,319,607,8,27,42.0,8
153062,2146,739,11,552,54,34,12,48.0,3
153106,2066,602,18,322,149,23,34,30.0,2
153124,1929,814,4,177,583,9,11,16.0,1
153151,2854,1023,28,348,503,17,64,28.0,5
153204,2165,924,18,248,535,15,45,27.0,4
153240,2305,899,28,511,236,19,33,30.0,1
153277,3423,1007,17,632,174,34,23,78.0,3
153295,2084,752,7,108,562,14,9,40.0,2
153339,3243,1355,61,408,712,40,38,67.0,5
153384,1366,701,3,56,600,6,5,19.0,4
153400,2052,716,6,414,184,20,7,66.0,2
153437,924,369,5,264,52,9,18,9.0,2
153473,2371,861,15,204,566,37,17,16.0,3
153507,6176,1651,68,1092,234,89,45,72.0,11
153543,5882,1460,70,872,340,48,39,63.0,0
153561,2633,1092,34,339,557,44,46,27.0,3
153589,2132,728,39,137,490,15,5,18.0,0
153605,4715,1350,25,651,494,52,55,26.0,6
153623,2125,985,21,280,524,12,12,103.0,6
153696,2328,611,27,294,173,22,50,25.0,5
153776,2507,1040,14,298,656,19,14,27.0,0
153829,1674,757,12,269,417,11,11,10.0,9
153865,1683,613,1,211,298,67,18,7.0,3
153909,728,370,18,78,247,3,6,13.0,0
153936,2209,878,10,640,121,20,27,25.0,2
153972,952,399,8,256,70,8,31,7.0,0
154013,3508,1872,15,362,1313,56,33,48.0,6
154068,1321,488,19,286,102,23,17,12.0,2
154139,2045,824,10,243,470,15,19,30.0,5
154166,974,460,8,320,19,72,20,8.0,0
154184,2472,734,11,304,214,63,51,44.0,4
154228,1834,567,11,319,123,21,24,47.0,0
154282,2034,718,14,215,275,14,83,32.0,3
154308,1201,693,8,201,403,20,13,31.0,0
154344,1369,452,11,274,103,15,13,15.0,2
154380,1914,747,25,214,423,9,16,30.0,3
154415,1605,784,14,333,366,18,12,10.0,2
154460,2219,1235,13,223,885,22,16,37.0,3
154497,2610,865,24,380,370,16,18,36.0,1
154521,1725,1012,7,217,747,9,10,10.0,0
154585,2653,668,9,476,96,16,21,35.0,1
154665,2326,749,16,239,410,8,20,24.0,3
154709,1512,791,3,127,620,7,13,9.0,0
154736,1511,627,22,384,83,26,41,28.0,2
154754,2059,370,17,247,34,15,5,31.0,3
154790,2460,1004,28,350,474,53,32,22.0,6
154834,4504,1884,18,1015,533,68,164,40.0,5
154852,2448,1208,14,837,225,26,21,51.0,10
154914,1438,752,18,218,448,12,9,21.0,1
154932,2311,1135,24,274,778,8,30,14.0,0
154978,1229,361,7,225,59,11,24,12.0,1
154996,2004,794,11,279,418,10,18,23.0,5
155083,1222,387,31,199,63,17,5,52.0,0
155092,1219,622,9,332,230,8,16,11.0,1
155109,1474,652,7,179,401,9,17,19.0,2
155118,1344,519,9,355,115,10,14,4.0,3
155127,2133,803,50,209,412,18,67,30.0,0
155136,1244,663,2,109,499,12,7,24.0,0
155145,1983,857,15,648,103,24,14,17.0,7
155154,1391,625,7,439,126,13,9,10.0,2
155243,276980,83397,4370,13024,18269,34364,2494,4481.0,2261
155261,13047,5665,289,656,1016,2870,172,179.0,247
155289,6813,2573,166,418,792,731,112,191.0,33
155314,15870,6069,310,867,1162,2712,241,350.0,53
155350,39391,10069,575,2096,3216,1662,592,1090.0,323
155403,7131,1681,97,501,549,207,90,126.0,27
155458,6498,1220,43,304,373,201,35,87.0,70
155494,11181,1976,83,318,573,291,65,324.0,107
155528,12045,3198,76,477,1316,471,133,469.0,100
155546,1389,494,18,201,71,43,24,46.0,63
155591,2565,596,20,180,183,51,40,70.0,7
155662,411,271,4,138,56,16,11,15.0,16
155724,1297,393,5,166,58,29,5,72.0,40
155760,2836,805,28,225,159,222,17,90.0,8
155797,2267,757,50,173,324,80,27,70.0,2
155840,2382,1013,20,214,417,49,85,170.0,11
155911,3505,988,50,182,397,166,31,123.0,5
155957,1250,452,22,217,56,13,27,94.0,6
156035,480,192,10,81,40,22,12,10.0,0
156106,2129,837,43,321,189,79,68,90.0,8
156151,736,382,5,70,143,16,45,25.0,4
156213,4591,875,69,251,205,140,10,130.0,10
156259,3931,616,10,85,92,237,15,135.0,22
156277,2628,555,18,137,129,86,23,111.0,23
156311,2131,725,35,330,147,103,28,49.0,13
156357,4545,1093,30,218,442,150,20,157.0,21
156437,4423,1060,25,462,149,91,11,255.0,15
156473,3300,937,48,290,249,81,45,117.0,68
156534,1557,900,75,508,171,37,10,59.0,1
156589,1047,342,38,81,83,32,19,53.0,3
156623,2807,626,52,107,136,104,26,145.0,4
156669,2777,799,32,369,151,80,34,64.0,17
156712,3728,1092,17,137,462,150,34,131.0,58
156767,2310,658,68,209,85,48,14,78.0,89
156801,6154,1747,116,594,439,137,70,225.0,37
156927,1477,593,26,284,72,37,37,81.0,11
157004,1527,407,5,49,64,219,12,21.0,20
157031,2500,792,67,125,344,91,16,111.0,3
157086,5464,1272,53,328,523,102,39,103.0,46
157193,1132,543,14,90,359,20,11,34.0,3
157246,6459,1695,335,267,423,356,51,138.0,12
157273,1190,244,10,91,39,37,16,25.0,8
157317,2575,515,21,129,98,115,30,65.0,6
157362,2585,663,23,104,221,142,61,58.0,10
157424,3178,895,79,118,397,98,58,85.0,2
157451,5174,912,36,121,217,164,63,240.0,9
157497,3438,726,46,141,178,156,23,123.0,11
157530,3418,812,76,137,303,100,15,137.0,6
