Cod Siruta,City,prezenta_la_vot
11478,Moneasa,48.10996563573883
125677,Baldovinesti,48.046875
157193,Ghizela,47.96819787985866
179604,Poienile Izei,47.92503346720214
31208,Spinus,47.9147358665431
5167,Livezile,47.89303079416531
73013,Macesu De Sus,47.85100286532951
1071,Ciugud,47.84557049293347
142952,Valcau De Jos,47.83456886461178
113698,Sovarna,47.81818181818182
142854,Samsud,47.775496235455165
36649,Cordareni,47.65625
72150,Dragotesti,47.61655316919853
4302,Farau,47.608695652173914
70566,Almaj,47.56235827664399
175983,Dumitresti,47.540547726668436
84825,Lupeni,47.53763715233478
71572,Castranova,47.502656748140275
47818,Murgesti,47.48110831234257
57225,Ciurila,47.47540983606557
153026,Galateni,47.44525547445255
11236,Hasmas,47.40200546946217
104582,Petrachioaia,47.39924216327937
112879,Patulele,47.39565367368058
152902,Draganesti-Vlasca,47.31869254341164
126825,Dobrun,47.284345047923324
80677,Lelesti,47.25407362703681
49439,Scutelnici,47.238605898123325
10701,Dieci,47.22822174226062
154166,Sfintesti,47.227926078028744
34477,Sanmihaiu De Campie,47.208931419457734
77377,Tepu,47.203791469194314
105106,Singureni,47.17052791492594
28889,Cristioru De Jos,47.15660542432196
134390,Plopu,47.10280373831776
71518,Caraula,47.0955352856457
102446,Daia,47.08059210526316
102106,Comana,47.05363443895554
141081,Fildu De Jos,47.0
86749,Carjiti,46.99300699300699
138869,Socond,46.985645933014354
141884,Lozna,46.98375870069606
54270,Teregova,46.96004632310365
104341,Nicolae Balcescu,46.95898161244696
7044,Salistea,46.917808219178085
173597,Sutesti,46.901709401709404
7197,Scarisoara,46.900072939460244
141376,Hereclean,46.8389997190222
151932,Crevenicu,46.82034976152623
9832,Archis,46.796875
50987,Ocna De Fier,46.74556213017752
51626,Brebu,46.700942587832046
107083,Asuaju De Sus,46.672661870503596
174218,Voicesti,46.63009404388715
92783,Albesti,46.5533522190746
74859,Carcea,46.55172413793103
83375,Pauleni-Ciuc,46.50473933649289
6164,Ohaba,46.46781789638933
63893,Bodoc,46.46660212971926
74907,Ghidici,46.39882410583048
44328,Ulmu,46.3903743315508
152724,Didesti,46.37826961770624
141134,Galgau,46.36979670861568
153623,Plopii-Slavitesti,46.35294117647059
73594,Perisor,46.34146341463415
174511,Lacusteni,46.33936261843239
29902,Lugasu De Jos,46.335697399527184
91937,Valisoara,46.330275229357795
16454,Domnesti,46.32299927901947
91330,Soimus,46.31967970434247
47079,Gura Teghii,46.309898565932144
32090,Varciorog,46.30168899242865
125374,Slatioara,46.29555466559872
73905,Rast,46.23584277148568
27631,Bors,46.231026498585024
27935,Bulz,46.22792937399679
175224,Barsesti,46.216436126932464
142774,Surduc,46.083086053412465
126077,Bucinisu,46.07268464243845
149851,Poiana Stampei,46.0539979231568
88788,Buces,46.05263157894737
88449,Bosorod,46.01512507271669
111444,Cujmir,46.00361663652803
152412,Calmatuiu,45.99753694581281
10239,Brazii,45.99627560521415
107047,Arinis,45.954692556634306
94731,Valcelele,45.9298871063577
33881,Milas,45.88457899716178
104421,Nuci,45.87991718426501
30470,Pomezeu,45.861486486486484
103354,Gostinu,45.860709592641264
74915,Ghindeni,45.828505214368484
80365,Glogova,45.825932504440495
129898,Visina,45.81861012956419
130320,Gradinile,45.77191621411947
103372,Gostinari,45.7592686642966
34850,Sieut,45.751633986928105
159516,Bucovat,45.729890764647465
111685,Floresti,45.722591362126245
86453,Tomesti,45.7129963898917
88350,Blajeni,45.702306079664574
61167,Cerchezu,45.65778159931212
130311,Ghimpeteni,45.638629283489095
90725,Rachitova,45.63456345634563
110875,Brosteni,45.62057398434588
58204,Izvoru Crisului,45.603576751117735
