Cod Siruta,Localitate,Partid majoritar
64602,Ojdula,UDMR
64639,Ozun,UDMR
64719,Poian,UDMR
64773,Reci,UDMR
64826,Sanzieni,UDMR
64871,Turia,UDMR
64906,Valea Crisului,UDMR
64997,Varghis,UDMR
65011,Zagon,UDMR
65048,Zabala,UDMR
65105,Mereni,UDMR
65113,Arcus,UDMR
65121,Bixad,UDMR
65139,Micfalau,UDMR
65147,Dalnic,UDMR
65154,Estelnic,UDMR
83133,Municipiul Odorheiu Secuiesc,UDMR
83151,Bradesti,UDMR
83197,Feliceni,UDMR
83320,Municipiul Miercurea Ciuc,UDMR
83375,Pauleni-Ciuc,UDMR
83428,Oras Baile Tusnad,UDMR
83464,Oras Balan,UDMR
83491,Oras Borsec,UDMR
83525,Oras Cristuru Secuiesc,UDMR
83561,Municipiul Gheorgheni,UDMR
83749,Oras Vlahita,UDMR
83785,Atid,UDMR
83847,Avramesti,UDMR
83963,Capalnita,UDMR
83981,Ciucsangeorgiu,UDMR
84086,Ciumani,UDMR
84102,Carta,UDMR
84175,Corund,UDMR
84237,Danesti,UDMR
84264,Dealu,UDMR
84344,Ditrau,UDMR
84380,Darjiu,UDMR
84415,Frumoasa,UDMR
84558,Joseni,UDMR
84594,Lazarea,UDMR
84629,Lueta,UDMR
84656,Lunca De Jos,UDMR
84754,Lunca De Sus,UDMR
84825,Lupeni,UDMR
84923,Martinis,UDMR
85056,Meresti,UDMR
85074,Mihaileni,UDMR
85127,Mugeni,UDMR
85243,Ocland,UDMR
85289,Plaiesii De Jos,UDMR
85341,Praid,UDMR
85412,Remetea,UDMR
85467,Sacel,UDMR
85582,Secuieni,UDMR
85626,Siculeni,UDMR
85680,Sancraieni,UDMR
85760,Sandominic,UDMR
85788,Sanmartin,UDMR
85840,Sansimion,UDMR
85920,Suseni,UDMR
85984,Simonesti,UDMR
86188,Tusnad,UDMR
86222,Ulies,UDMR
86311,Varsag,UDMR
86339,Voslabeni,UDMR
86366,Zetea,UDMR
86438,Madaras,UDMR
86446,Cozmeni,UDMR
86453,Tomesti,UDMR
86461,Ciceu,UDMR
86479,Leliceni,UDMR
86487,Porumbeni,UDMR
86495,Racu,UDMR
86501,Satu Mare,UDMR
86519,Santimbru,UDMR
107715,Campulung La Tisa,UDMR
114319,Municipiul Targu Mures,UDMR
114355,Cristesti,UDMR
114382,Sancraiu De Mures,UDMR
114417,Sangeorgiu De Mures,UDMR
114453,Santana De Mures,UDMR
114854,Oras Sovata,UDMR
114970,Acatari,UDMR
115076,Adamus,UDMR
115147,Alunis,UDMR
115389,Band,UDMR
115575,Bagaciu,UDMR
115637,Balauseri,UDMR
115771,Bichis,UDMR
115824,Bogata,UDMR
115851,Breaza,UDMR
115897,Brancovenesti,UDMR
115959,Ceuasu De Campie,UDMR
116288,Craciunesti,UDMR
116590,Eremitu,UDMR
116652,Ernei,UDMR
116796,Fantanele,UDMR
116867,Galesti,UDMR
116938,Ganesti,UDMR
116983,Gheorghe Doja,UDMR
117042,Ghindari,UDMR
117113,Glodeni,UDMR
117177,Gornesti,UDMR
117505,Hodosa,UDMR
117925,Livezeni,UDMR
118094,Magherani,UDMR
118209,Mica,UDMR
118281,Oras Miercurea Nirajului,UDMR
118511,Neaua,UDMR
118637,Papiu Ilarian,UDMR
118691,Panet,UDMR
118753,Pasareni,UDMR
119331,Oras Sangeorgiu De Padure,UDMR
119466,Sanpaul,UDMR
119661,Suplac,UDMR
120076,Vargata,UDMR
120174,Vetca,UDMR
120316,Voivodeni,UDMR
120478,Chibed,UDMR
120487,Corunca,UDMR
120496,Sarateni,UDMR
120502,Madaras,UDMR
120511,Bereni,UDMR
136483,Municipiul Satu Mare,UDMR
136526,Municipiul Carei,UDMR
136553,Capleni,UDMR
136642,Oras Tasnad,UDMR
136713,Acas,UDMR
136768,Andrid,UDMR
137032,Berveni,UDMR
137130,Bogdand,UDMR
137292,Cauas,UDMR
137540,Culciu,UDMR
137675,Dorolt,UDMR
137728,Foieni,UDMR
137764,Halmeu,UDMR
137844,Hodod,UDMR
137960,Lazuri,UDMR
138039,Oras Livada,UDMR
138164,Micula,UDMR
138351,Orasu Nou,UDMR
138501,Petresti,UDMR
138538,Pir,UDMR
138663,Sanislau,UDMR
138770,Sacaseni,UDMR
139107,Tiream,UDMR
139214,Turulung,UDMR
139250,Urziceni,UDMR
139330,Vama,UDMR
139358,Vetis,UDMR
139394,Viile Satu Mare,UDMR
139740,Oras Cehu Silvaniei,UDMR
139982,Almasu,UDMR
140324,Bocsa,UDMR
140440,Camar,UDMR
140477,Carastelec,UDMR
140583,Coseiu,UDMR
140627,Crasna,UDMR
140958,Dobrin,UDMR
141376,Hereclean,UDMR
141722,Ip,UDMR
142079,Mesesenii De Jos,UDMR
142239,Nusfalau,UDMR
142284,Pericei,UDMR
142550,Salatig,UDMR
142854,Samsud,UDMR
142881,Sarmasag,UDMR
143021,Varsolt,UDMR
159525,Otelec,UDMR
179677,Camin,UDMR
179846,Coltau,UDMR
179873,Agris,UDMR
179882,Ciumesti,UDMR
180028,Porumbesti,UDMR
180037,Boghis,UDMR
