Code,Localitate,Shannon,Simpson,Inverse Simpson
148006,Oras Dolhasca,0.5540318254391384,-19.775636025725778,0.048133303777642876
148097,Dolhesti,0.25393416430367505,-19.91849246487433,0.04780459211767618
148131,Dorna-Arini,-0.0,-21.0,0.045454545454545456
148202,Dorna Candrenilor,0.09863324113740589,-17.978102873945403,0.05269230579273953
148293,Dornesti,0.3437573397995517,-19.879906030365614,0.04789293584682333
148328,Dragoiesti,0.036969645704464635,-19.9921943956352,0.04763675398356281
148382,Draguseni,0.058612978925631956,-19.98652693561641,0.04764961839888293
148426,Dumbraveni,0.03691376026909084,-19.99220827280395,0.04763672249267509
148453,Fantanele,0.03236804986412327,-19.993322278618106,0.047634194660961755
148514,Forasti,0.6803528494334236,-17.754259768061637,0.053321219411868896
148612,Oras Frasin,0.05549133716339928,-19.987377788313996,0.04764768662795078
148667,Fratautii Noi,-0.0,-21.0,0.045454545454545456
148694,Fratautii Vechi,0.028126684627691148,-18.99489496530035,0.05001276584525327
148729,Frumosu,-0.0,-21.0,0.045454545454545456
148765,Fundu Moldovei,0.00987248962662475,-19.998306043001563,0.04762288910125138
148872,Galanesti,-0.0,-21.0,0.045454545454545456
148916,Gramesti,0.01783526718290671,-19.996661111173253,0.047626619999493906
148970,Granicesti,-0.0,-21.0,0.045454545454545456
149049,Horodniceni,-0.0,-21.0,0.045454545454545456
149101,Horodnic De Jos,-0.0,-21.0,0.045454545454545456
149138,Iacobeni,0.0323526881787922,-19.993325992506378,0.04763418623408947
149183,Izvoarele Sucevei,0.9894567892591737,-19.50729017710424,0.04876314673288571
149227,Oras Liteni,0.02392388329811365,-19.99530769364811,0.04762969014750561
149290,Marginea,0.014505534000858198,-19.997368425620703,0.04762501565576254
149316,Malini,0.056708846584617584,-19.987047182592228,0.047648437214619366
149370,Manastirea Humorului,0.7930594358748917,-18.66818882757765,0.05084352243953724
149414,Moara,0.21256829371542948,-19.93489151465773,0.0477671450697436
149502,Moldova-Sulita,0.3249147643059025,-18.904585386246232,0.050239679983034705
149539,Moldovita,0.11663172327507094,-18.972041073083346,0.050069995166779256
149584,Musenita,1.2247656909710067,-16.550367426584955,0.05697886407125696
149655,Ostra,-0.0,-21.0,0.045454545454545456
149682,Panaci,-0.0,-21.0,0.045454545454545456
149753,Paltinoasa,0.4810506516691059,-17.846192831548173,0.053061114726896924
149780,Partestii De Jos,0.25880319272073526,-18.920105260898886,0.05020053794408893
149833,Patrauti,0.770903998881984,-18.656021256961512,0.05087499585633756
149851,Poiana Stampei,-0.0,-21.0,0.045454545454545456
149931,Pojorata,0.08185987936501135,-18.981266536763954,0.050046877567049064
149968,Preutesti,-0.0,-21.0,0.045454545454545456
150043,Putna,0.0182132369719876,-19.99657925747578,0.047626805668544915
150070,Radaseni,-0.0,-21.0,0.045454545454545456
150114,Rasca,0.015397806874710058,-19.997181402835587,0.04762543985379647
150178,Sadova,0.06697526445488267,-19.984197666222883,0.04765490755977987
150196,Satu Mare,0.0197929426898732,-18.996603939298726,0.05000849159365156
150221,Siminicea,0.02952701932893436,-19.994003052744645,0.04763265002332489
150258,Slatina,-0.0,-21.0,0.045454545454545456
150294,Straja,-0.0,-21.0,0.045454545454545456
150310,Stroiesti,0.08582897744073781,-19.97869997363043,0.047667396037741554
150356,Stulpicani,0.0892222240409574,-18.978954420488975,0.05005266937165
150418,Sucevita,0.46742341421733946,-18.825006638684883,0.050441345025765714
150445,Saru Dornei,0.009072613782844994,-19.998461539373274,0.04762253644748901
150524,Todiresti,-0.0,-21.0,0.045454545454545456
150588,Udesti,0.25146396423889,-19.919497210648967,0.04780229610351031
150702,Ulma,0.9760692897358669,-19.516495584376443,0.04874126752726289
150766,Vadu Moldovei,0.02348245348329001,-19.99540818758151,0.04762946216932738
150891,Valea Moldovei,0.9728676107243746,-19.518688542321826,0.04873605824940522
150935,Vama,0.14239554890424,-18.96392814763633,0.05009034257210533
150980,Vatra Moldovitei,0.2874482569061067,-18.90937276506402,0.05022759942265737
151022,Veresti,0.4927164579404897,-19.807913173273604,0.048058639598921156
151077,Vicovu De Jos,0.1338925817691327,-19.96336179696081,0.04770227264526705
151095,Oras Vicovu De Sus,0.30771913874071616,-17.89988241212433,0.052910382096266216
151120,Volovat,0.11433699089727657,-16.97389945796578,0.055636229764087955
151157,Vulturesti,-0.0,-21.0,0.045454545454545456
151246,Zamostea,-0.0,-21.0,0.045454545454545456
151344,Zvoristea,-0.0,-21.0,0.045454545454545456
151433,Comanesti,0.6696223858726436,-18.719099578462554,0.05071225468591945
151442,Iaslovat,-0.0,-21.0,0.045454545454545456
151451,Ciocanesti,0.034853727115475804,-19.99271677610205,0.04763556859578997
151460,Serbauti,0.19672321800918252,-19.94092444855539,0.047753383689275716
151479,Horodnic De Sus,0.3555907859638986,-19.874538541962472,0.047905250599421745
151488,Fantana Mare,-0.0,-21.0,0.045454545454545456
151497,Cosna,-0.0,-21.0,0.045454545454545456
151503,Capu Campului,0.31567798624432153,-19.89238465889682,0.047864330296740906
151512,Hantesti,-0.0,-21.0,0.045454545454545456
151521,Burla,0.40305904600183173,-19.85238032670594,0.04795615581206745
151530,Balaceana,0.020790199540899647,-19.99601330494095,0.04762808946042495
151549,Hartop,-0.0,-21.0,0.045454545454545456
151558,Voitinel,0.5363733851606063,-19.78508224609493,0.04811142857940235
151567,Ciprian Porumbescu,0.4928894567303461,-19.807824191144064,0.04805884511584859
151576,Berchisesti,0.27268183871004825,-19.910765052059755,0.047822257937975246
151585,Poieni-Solca,-0.0,-21.0,0.045454545454545456
151683,Municipiul Turnu Magurele,0.20382836512211797,-18.938840405939807,0.05015336798132446
151709,Ciuperceni,0.05885939504199396,-18.987952074219564,0.05003013796945205
151736,Islaz,-0.0,-21.0,0.045454545454545456
151763,Lita,0.013630077031445998,-19.99755002410196,0.04762460376816122
151790,Municipiul Alexandria,0.154557819742871,-18.957081493134567,0.05010752701210394
151816,Nanov,0.13357201910297703,-19.963469734622947,0.04770202703364583
151834,Poroschia,0.19957136023333547,-19.93985056419391,0.04775583268535591
151870,Municipiul Rosiori De Vede,0.13972993198751818,-17.96264004513229,0.05273527302210749
151905,Oras Videle,0.22604430055065466,-18.931410384960643,0.050172064128214205
151932,Crevenicu,-0.0,-21.0,0.045454545454545456
151978,Oras Zimnicea,0.09878249886308187,-19.974742607356394,0.04767638958531361
