,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
Iceland,-154.09326424870466,-130.58031088082902,-177.79274611398966,4.890052356020931,-207.77486910994764,-47.16230366492147,-9.340641711229946,-3.322994652406417,-0.18449197860962485,-4.070053475935829,-1.3342245989304813,17.7994652406417,-11.237433155080215,15.6282722513089,-135.5130890052356,-2.5751295336787563
India,28.906735751295344,35.41968911917098,19.207253886010335,-22.10994764397907,56.225130890052355,35.83769633507853,10.659358288770054,-2.622994652406417,-2.884491978609625,-3.170053475935829,2.365775401069519,1.9994652406417046,7.262566844919785,-4.3717277486911,28.4869109947644,265.42487046632124
Indonesia,2.9067357512953436,29.419689119170982,-21.792746113989665,0.8900523560209308,-10.774869109947645,5.837696335078533,8.659358288770054,-3.322994652406417,-2.2844919786096254,-3.570053475935829,3.365775401069519,-5.600534759358297,3.1625668449197857,0.6282722513088999,130.4869109947644,-2.5751295336787563
Iran (Islamic Republic of),-36.093264248704656,-39.58031088082902,-31.792746113989665,-18.10994764397907,94.22513089005236,51.83769633507853,-3.840641711229946,-3.222994652406417,7.7155080213903755,-3.870053475935829,-1.3342245989304813,19.6994652406417,-4.837433155080214,0.6282722513088999,-108.5130890052356,-2.5751295336787563
Iraq,-34.093264248704656,-34.58031088082902,-35.792746113989665,-19.10994764397907,136.22513089005236,59.83769633507853,3.659358288770054,-3.022994652406417,0.615508021390375,-3.370053475935829,-0.8342245989304813,7.599465240641699,6.362566844919787,-7.3717277486911,-83.5130890052356,-2.5751295336787563
Ireland,-133.09326424870466,-117.58031088082902,-149.79274611398966,19.89005235602093,-157.77486910994764,-46.16230366492147,-9.340641711229946,-3.322994652406417,-2.1844919786096253,-4.070053475935829,-0.8342245989304813,17.899465240641703,-9.937433155080214,12.6282722513089,-125.5130890052356,-2.5751295336787563
Israel,-145.09326424870466,-131.58031088082902,-157.79274611398966,1.8900523560209308,-235.77486910994764,-51.16230366492147,-8.740641711229946,-3.322994652406417,0.8155080213903751,-4.070053475935829,-1.3342245989304813,9.599465240641699,-10.837433155080214,13.6282722513089,-130.5130890052356,-2.5751295336787563
Italy,-153.09326424870466,-136.58031088082902,-168.79274611398966,2.890052356020931,-197.77486910994764,-52.16230366492147,-9.340641711229946,-3.1229946524064167,-1.0844919786096252,-4.070053475935829,-1.3342245989304813,18.7994652406417,-10.237433155080215,15.6282722513089,-130.5130890052356,-2.5751295336787563
Jamaica,-69.09326424870466,-49.58031088082902,-87.79274611398966,19.89005235602093,-45.774869109947645,-69.16230366492147,0.25935828877005385,2.7770053475935828,-2.6844919786096253,-4.070053475935829,-1.3342245989304813,8.899465240641703,-1.937433155080214,7.6282722513089,-131.5130890052356,-2.5751295336787563
Japan,-156.09326424870466,-139.58031088082902,-171.79274611398966,-12.10994764397907,-265.77486910994764,-42.16230366492147,-8.940641711229945,-3.322994652406417,6.515508021390374,-4.070053475935829,-1.1342245989304813,-3.2005347593582982,-7.337433155080214,17.6282722513089,-105.5130890052356,-2.5751295336787563
