Code,Localitate,Shannon,Simpsone,Inverse Simpson
148328,Dragoiesti,0.036969645704464635,0.007805604364800489,1.007867011141303
148382,Draguseni,0.058612978925631956,0.013473064383586975,1.013657066925566
148426,Dumbraveni,0.03691376026909084,0.007791727196047926,1.0078529149671658
148453,Fantanele,0.03236804986412327,0.006677721381895374,1.0067226131192641
148514,Forasti,0.6803528494334236,0.24574023193836347,1.3258031812698805
148612,Oras Frasin,0.05549133716339928,0.012622211686004414,1.012783568594912
148667,Fratautii Noi,-0.0,0.0,1.0
148694,Fratautii Vechi,0.028126684627691148,0.005105034699651068,1.005131229805862
148729,Frumosu,-0.0,0.0,1.0
148765,Fundu Moldovei,0.00987248962662475,0.0016939569984353309,1.001696831357789
148872,Galanesti,-0.0,0.0,1.0
148916,Gramesti,0.01783526718290671,0.003338888826746933,1.0033500743525714
148970,Granicesti,-0.0,0.0,1.0
149049,Horodniceni,-0.0,0.0,1.0
149101,Horodnic De Jos,-0.0,0.0,1.0
149138,Iacobeni,0.0323526881787922,0.006674007493622458,1.0067188491431525
149183,Izvoarele Sucevei,0.9894567892591737,0.49270982289575915,1.971258354948423
149227,Oras Liteni,0.02392388329811365,0.004692306351893993,1.0047144278918363
149290,Marginea,0.014505534000858198,0.0026315743792972857,1.0026385178352317
149316,Malini,0.056708846584617584,0.012952817407770656,1.0131227945697119
149370,Manastirea Humorului,0.7930594358748917,0.3318111724223447,1.4965829399231947
149414,Moara,0.21256829371542948,0.06510848534227165,1.0696428241367752
149502,Moldova-Sulita,0.3249147643059025,0.09541461375376992,1.1054788361657193
149539,Moldovita,0.11663172327507094,0.027958926916655358,1.0287631126820278
149584,Musenita,1.2247656909710067,0.4496325734150408,1.816967995735176
149655,Ostra,-0.0,0.0,1.0
149682,Panaci,-0.0,0.0,1.0
149753,Paltinoasa,0.4810506516691059,0.15380716845182452,1.181763733652083
149780,Partestii De Jos,0.25880319272073526,0.07989473910111544,1.0868321729005912
149833,Patrauti,0.770903998881984,0.34397874303848763,1.52434084930676
149851,Poiana Stampei,-0.0,0.0,1.0
149931,Pojorata,0.08185987936501135,0.018733463236046854,1.0190911057640124
149968,Preutesti,-0.0,0.0,1.0
150043,Putna,0.0182132369719876,0.0034207425242196443,1.0034324841687794
150070,Radaseni,-0.0,0.0,1.0
150114,Rasca,0.015397806874710058,0.002818597164412129,1.0028265641099976
150178,Sadova,0.06697526445488267,0.015802333777116484,1.0160560569481556
150196,Satu Mare,0.0197929426898732,0.0033960607012728516,1.0034076332305715
150221,Siminicea,0.02952701932893436,0.005996947255356488,1.0060331276033787
150258,Slatina,-0.0,0.0,1.0
150294,Straja,-0.0,0.0,1.0
150310,Stroiesti,0.08582897744073781,0.021300026369568847,1.021763591441162
150356,Stulpicani,0.0892222240409574,0.02104557951102659,1.0214980177529762
150418,Sucevita,0.46742341421733946,0.17499336131511678,1.2121114583927084
150445,Saru Dornei,0.009072613782844994,0.0015384606267270229,1.0015408311347602
150524,Todiresti,-0.0,0.0,1.0
150588,Udesti,0.25146396423889,0.08050278935103439,1.087550879348744
150702,Ulma,0.9760692897358669,0.4835044156235586,1.9361249742479163
150766,Vadu Moldovei,0.02348245348329001,0.004591812418487162,1.0046129944235678
150891,Valea Moldovei,0.9728676107243746,0.48131145767817574,1.9279392514121554
150935,Vama,0.14239554890424,0.03607185236366883,1.0374217232395604
150980,Vatra Moldovitei,0.2874482569061067,0.09062723493598113,1.0996590599781169
151022,Veresti,0.4927164579404897,0.1920868267263971,1.237756770257967
151077,Vicovu De Jos,0.1338925817691327,0.03663820303918697,1.03803161299812
151095,Oras Vicovu De Sus,0.30771913874071616,0.1001175878756686,1.111256300297417
151120,Volovat,0.11433699089727657,0.026100542034222518,1.0268000375405688
151157,Vulturesti,-0.0,0.0,1.0
151246,Zamostea,-0.0,0.0,1.0
151344,Zvoristea,-0.0,0.0,1.0
151433,Comanesti,0.6696223858726436,0.28090042153744754,1.3906279880430712
151442,Iaslovat,-0.0,0.0,1.0
151451,Ciocanesti,0.034853727115475804,0.007283223897951441,1.0073366584239156
151460,Serbauti,0.19672321800918252,0.05907555144461152,1.0627845854524354
151479,Horodnic De Sus,0.3555907859638986,0.12546145803752706,1.1434601815901564
151488,Fantana Mare,-0.0,0.0,1.0
151497,Cosna,-0.0,0.0,1.0
151503,Capu Campului,0.31567798624432153,0.10761534110318038,1.1205929976835507
151512,Hantesti,-0.0,0.0,1.0
151521,Burla,0.40305904600183173,0.14761967329406045,1.1731852186975538
151530,Balaceana,0.020790199540899647,0.0039866950590514705,1.004002652413652
151549,Hartop,-0.0,0.0,1.0
151558,Voitinel,0.5363733851606063,0.21491775390507106,1.2737518966631733
151567,Ciprian Porumbescu,0.4928894567303461,0.19217580885593333,1.237893109618032
151576,Berchisesti,0.27268183871004825,0.08923494794024434,1.0979780106169352
151585,Poieni-Solca,-0.0,0.0,1.0
151683,Municipiul Turnu Magurele,0.20382836512211797,0.061159594060194,1.065143759975873
151709,Ciuperceni,0.05885939504199396,0.012047925780435564,1.0121948484089704
151736,Islaz,-0.0,0.0,1.0
151763,Lita,0.013630077031445998,0.002449975898040302,1.0024559930217494
151790,Municipiul Alexandria,0.154557819742871,0.0429185068654343,1.0448431060189771
151816,Nanov,0.13357201910297703,0.036530265377054505,1.0379153221573179
151834,Poroschia,0.19957136023333547,0.060149435806088336,1.063998935679394
151870,Municipiul Rosiori De Vede,0.13972993198751818,0.0373599548677116,1.038809890630072
151905,Oras Videle,0.22604430055065466,0.06858961503935757,1.0736405951091643
151932,Crevenicu,-0.0,0.0,1.0
151978,Oras Zimnicea,0.09878249886308187,0.025257392643605714,1.025911858631179
151996,Balaci,-0.0,0.0,1.0
152038,Babaita,0.011669749624420158,0.002050578837909267,1.0020547923516219
152083,Blejesti,0.08835879427990398,0.022061872033777075,1.0225595785693091
152127,Bogdana,-0.0,0.0,1.0
152172,Botoroaga,0.047823216862932415,0.010577980183816615,1.010691070111601
152234,Bragadiru,0.05134631877293246,0.01150890033577201,1.0116428972801894
152252,Branceni,0.3598456759510349,0.12740690205474148,1.1460095230580591
152270,Bujoreni,0.05842745555499332,0.013422205989773728,1.0136048125867656
152314,Bujoru,0.06219485856390519,0.014462042552362053,1.0146742623590228
152332,Buzescu,0.8290971261110709,0.38629643016553783,1.6294511701630412
