Siruta,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
12689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,1314.0
12876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,534.0
12912,140.0,280.0,386.0,108.0,0.0,1984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13169,276244.0,278346.0,272032.0,249984.0,308208.0,301320.0,362140.0,327038.0,175984.0,217844.0,209982.0,228738.0,193012.0,217244.0,244494.0,257274.0
13187,31718.0,32868.0,24508.0,19428.0,23836.0,28298.0,30504.0,14750.0,10940.0,9062.0,8250.0,13182.0,11102.0,12268.0,20476.0,23468.0
13276,0.0,0.0,0.0,0.0,0.0,6340.0,16048.0,23368.0,15888.0,11592.0,10002.0,10788.0,7498.0,7642.0,14088.0,11782.0
13301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,15060.0,14240.0,14290.0,15176.0,14366.0,16740.0
13365,5824.0,5840.0,2342.0,1738.0,1270.0,1652.0,1874.0,1214.0,1344.0,1012.0,694.0,918.0,1040.0,1010.0,878.0,974.0
13392,4566.0,2034.0,380.0,636.0,674.0,570.0,13952.0,19180.0,13250.0,10550.0,11026.0,12142.0,10148.0,10602.0,10948.0,10952.0
13490,20774.0,43432.0,52324.0,61882.0,46252.0,70478.0,83350.0,61596.0,21990.0,35360.0,40550.0,34802.0,30222.0,30914.0,30476.0,31560.0
13524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,1298.0,1024.0,954.0,1130.0,1852.0,1170.0
13622,48956.0,42090.0,31388.0,36096.0,31230.0,29370.0,61602.0,60146.0,47250.0,52742.0,48148.0,48646.0,46930.0,55740.0,61348.0,64102.0
13757,5448.0,6094.0,14466.0,7794.0,7222.0,11504.0,13964.0,9502.0,8364.0,6956.0,9730.0,10182.0,9014.0,8872.0,10012.0,13312.0
13819,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,692.0,390.0,188.0,552.0,588.0,3028.0,3224.0
13891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,1416.0,2326.0,1178.0,1240.0,1616.0,4332.0,3058.0
13935,0.0,0.0,0.0,0.0,126.0,1280.0,7794.0,7684.0,5380.0,4276.0,4972.0,3866.0,4028.0,4528.0,5322.0,5542.0
14049,32342.0,32538.0,28196.0,14264.0,15664.0,18154.0,27560.0,39370.0,33466.0,24540.0,25716.0,56534.0,68926.0,81722.0,101686.0,105820.0
14272,0.0,0.0,0.0,0.0,208.0,72.0,212.0,496.0,316.0,0.0,126.0,112.0,286.0,90.0,364.0,1350.0
14405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0,1574.0,2014.0
14450,7400.0,5800.0,5440.0,4200.0,2300.0,1700.0,3000.0,2360.0,1960.0,1154.0,5688.0,4046.0,3030.0,3806.0,4734.0,5298.0
14753,506.0,278.0,718.0,0.0,0.0,0.0,84.0,124.0,940.0,1120.0,442.0,562.0,546.0,2658.0,3010.0,3120.0
14851,11196.0,5128.0,5638.0,4114.0,4854.0,4870.0,5444.0,5478.0,4298.0,2848.0,3540.0,3982.0,4618.0,4556.0,1472.0,758.0
14922,1554.0,1726.0,7284.0,12260.0,4834.0,3876.0,22438.0,12816.0,1412.0,0.0,0.0,204.0,402.0,224.0,246.0,250.0
15108,0.0,0.0,0.0,170.0,522.0,478.0,1700.0,1304.0,1118.0,734.0,854.0,1730.0,3074.0,854.0,686.0,884.0
15233,8716.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
15652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,290.0
15741,8576.0,8816.0,6264.0,5252.0,6074.0,5324.0,6608.0,4052.0,4472.0,5860.0,6510.0,10958.0,11772.0,11776.0,15818.0,23016.0
15830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,400.0,0.0,70.0,126.0
15983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,762.0,916.0,2048.0
16329,3698.0,5372.0,5166.0,5086.0,10584.0,8636.0,7922.0,9340.0,5266.0,3434.0,3074.0,4072.0,5936.0,10174.0,15422.0,15286.0
16365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,90.0,64.0,10.0,34.0,50.0
16472,0.0,116.0,224.0,70.0,298.0,510.0,422.0,582.0,680.0,460.0,626.0,2322.0,2278.0,2780.0,4862.0,5196.0
16506,1936.0,1254.0,824.0,534.0,0.0,0.0,0.0,0.0,424.0,910.0,552.0,338.0,170.0,0.0,0.0,0.0
16551,0.0,0.0,0.0,0.0,0.0,0.0,4420.0,3024.0,1342.0,1590.0,3136.0,1202.0,1222.0,1666.0,736.0,1384.0
16908,11966.0,12142.0,14632.0,9024.0,17938.0,9172.0,13478.0,17808.0,11642.0,5150.0,7356.0,8752.0,10166.0,14872.0,14300.0,16658.0
16944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514.0,1208.0,1120.0,3088.0,3696.0,3234.0,2558.0,1398.0
