County,Ani,0
cj,2011,408688.9332952563
cj,2012,446335.65826896863
cj,2013,497927.739641037
cj,2014,530600.0719436646
cj,2015,658713.7461411187
cj,2016,772439.4869770015
cl,2001,26655.369167328216
cl,2002,32622.131758842726
cl,2003,42471.60602937908
cl,2004,46301.69707623608
cl,2005,88764.98719068413
cl,2006,105469.7761183921
cl,2007,60346.963721638116
cl,2008,63005.201325970374
cl,2009,28742.35883241843
cl,2010,29228.151280122842
cl,2011,34132.84291914956
cl,2012,34405.14429193695
cl,2013,32164.440365391245
cl,2014,37721.76689923922
cl,2015,39851.898438826414
cl,2016,41054.10658991503
cs,2001,62879.29335133276
cs,2002,69441.28328038666
cs,2003,72711.82306295681
cs,2004,78962.51225468723
cs,2005,69170.29651662771
cs,2006,67867.18923801473
cs,2007,59509.36512808405
cs,2008,68792.49519046524
cs,2009,68279.466103116
cs,2010,50440.61054437399
cs,2011,51388.5988066287
cs,2012,42495.69567060349
cs,2013,44217.442663315946
cs,2014,43120.44808398776
cs,2015,66189.26909957995
cs,2016,58428.207082628076
ct,2001,1903811.4618703804
ct,2002,1875868.5890449346
ct,2003,1962841.2702128845
ct,2004,2150110.9326537778
ct,2005,2143580.4966141083
ct,2006,1959632.1968795592
ct,2007,2326008.7395897075
ct,2008,2379746.362935298
ct,2009,2084365.9559240288
ct,2010,1935367.9281711874
ct,2011,1964714.6165855126
ct,2012,2079753.4221379699
ct,2013,1944534.8195742965
ct,2014,2033457.1325630678
ct,2015,2221699.7958497973
ct,2016,2247779.0482094972
cv,2001,118236.70847921833
cv,2002,103216.99177890502
cv,2003,108482.97360766532
cv,2004,104176.93245404493
cv,2005,107675.18522667701
cv,2006,99832.71177287897
cv,2007,101386.3954690848
cv,2008,96412.10302590861
cv,2009,76638.32296709708
cv,2010,71825.01680044115
cv,2011,90901.28027979309
cv,2012,76680.46104782591
cv,2013,78431.94497307835
cv,2014,83926.77857176164
cv,2015,83131.16749098492
cv,2016,78211.34942751663
db,2001,75608.65048363827
db,2002,73798.44020906197
db,2003,83737.54804253492
db,2004,81426.76258682579
db,2005,71214.89495689496
db,2006,78288.07479497809
db,2007,80145.16579375022
db,2008,80887.80367188723
db,2009,62426.43563608909
db,2010,53461.846180120214
db,2011,65388.622245495724
db,2012,66719.39373198533
db,2013,72896.94264558078
db,2014,70261.3605316596
db,2015,69050.31504070152
db,2016,63438.389455491764
dj,2001,135943.36321422155
dj,2002,132056.31136578025
dj,2003,94183.97090478305
dj,2004,129878.03509343276
dj,2005,133328.26164828587
dj,2006,154758.12062661262
dj,2007,227951.66134631707
dj,2008,252314.45412232616
dj,2009,121132.48460680306
dj,2010,104220.63558738053
dj,2011,151138.05556863025
dj,2012,182590.45562872203
dj,2013,201075.6876611638
dj,2014,198444.67165216545
dj,2015,240071.70066452282
dj,2016,219885.12621936807
gj,2001,74834.98419926125
gj,2002,67847.79679543218
gj,2003,65465.971212599594
gj,2004,66801.51870347688
gj,2005,81109.60793154275
gj,2006,77799.31449442523
gj,2007,95505.16703085283
gj,2008,93302.37170570476
gj,2009,73455.08915184798
gj,2010,75893.26248128018
gj,2011,90817.94970106076
gj,2012,127055.63932440383
gj,2013,120578.17338306502
gj,2014,110411.27689836088
gj,2015,86736.5846468414
gj,2016,81521.61126152947
gl,2001,178080.77722106647
gl,2002,195372.4137374211
gl,2003,190738.47682485732
gl,2004,216028.03766754243
gl,2005,211936.0
gl,2006,234814.0
gl,2007,257424.4300286206
gl,2008,282782.0
gl,2009,197772.0
gl,2010,150002.0
gl,2011,163438.92001736438
gl,2012,174615.83665813573
gl,2013,210847.1149057334
gl,2014,192412.92810356058
gl,2015,215912.03043062467
gl,2016,220789.66912354276
gr,2001,107076.3024805167
gr,2002,97622.73907898867
gr,2003,81702.76512546031
gr,2004,110256.55872692891
gr,2005,92945.39682705137
gr,2006,79055.49764426284
gr,2007,95862.17556618316
gr,2008,105558.12586459033
gr,2009,115692.06652351568
gr,2010,110806.13325550366
gr,2011,118608.56867078051
gr,2012,114932.21889593062
gr,2013,100282.34575133423
gr,2014,33611.71510173449
gr,2015,25921.319905374752
gr,2016,26630.440007398684
hd,2001,53038.4149519639
hd,2002,53589.34612787978
hd,2003,63173.95798126036
hd,2004,53282.10444476839
hd,2005,47334.972778495605
hd,2006,47759.05342615969
hd,2007,47710.997556325514
hd,2008,42944.546607263204
hd,2009,36203.49389352187
hd,2010,37001.59998881279
hd,2011,32597.83641747482
hd,2012,32021.55679814927
hd,2013,33518.92078498052
hd,2014,41979.27226235763
hd,2015,57444.292792853215
hd,2016,51081.50383611771
hr,2001,30930.746759920068
hr,2002,22931.484475932484
hr,2003,33289.49680912612
hr,2004,35549.74098331125
hr,2005,39928.26779372825
hr,2006,39253.99617458807
hr,2007,38728.11198858189
hr,2008,39975.493731532486
hr,2009,35961.96411082384
hr,2010,36996.53309257523
hr,2011,36643.198637286805
hr,2012,36406.789160859524
hr,2013,35555.045616968084
hr,2014,35942.232267693325
hr,2015,48229.15066585754
hr,2016,48883.035791636794
if,2001,3741.592625775327
if,2002,8642.433694814037
if,2003,10674.680332837384
if,2004,16213.722586878072
if,2005,23427.195954264316
if,2006,25678.391834890026
if,2007,36435.87056007499
if,2008,46091.481001640386
if,2009,29262.43081918918
if,2010,32109.557376168475
if,2011,28665.33501665413
if,2012,21854.39715421039
if,2013,22574.568091940895
if,2014,24183.640149856918
if,2015,26223.886682370856
if,2016,35598.712980328
il,2001,42875.30351139335
il,2002,40641.1060040072
il,2003,40725.921918006665
il,2004,44329.39588584673
il,2005,41304.02837896567
il,2006,50427.78367376503
il,2007,57762.28885451679
il,2008,54619.455634210084
il,2009,47244.73668535763
il,2010,35179.945215465275
il,2011,38359.11209241035
il,2012,37151.52761656433
il,2013,37121.71859141503
il,2014,37047.877501938936
il,2015,48417.20152325204
il,2016,39480.11699077138
is,2001,351136.21403803484
is,2002,343654.2840601193
is,2003,334222.412469921
is,2004,353621.0106775851
is,2005,379379.14894838486
is,2006,444596.87408998975
is,2007,494225.08592823223
is,2008,494759.6126243284
is,2009,426882.11130158446
is,2010,405952.1961837534
is,2011,409959.5176823103
is,2012,431249.6018304489
is,2013,421253.6049243911
is,2014,474061.2336482724
is,2015,553342.7119371111
is,2016,669439.856041968
mh,2001,98879.06719693026
mh,2002,108263.68620719119
mh,2003,99152.18024822258
mh,2004,119164.92495951314
mh,2005,106019.25146878336
mh,2006,119229.46435340852
mh,2007,116428.53855884181
mh,2008,132296.65300795666
mh,2009,116248.6263875051
mh,2010,123779.95588049565
mh,2011,119737.47452795385
mh,2012,94627.67059318468
mh,2013,85970.8652976441
mh,2014,84689.69834612957
mh,2015,136828.92945454546
mh,2016,158798.39919753047
mm,2001,142559.00185778626
mm,2002,114329.87647575772
mm,2003,108903.02859521747
mm,2004,102291.23014208433
mm,2005,102184.04538078436
mm,2006,99795.54591515938
mm,2007,108486.09326619898
mm,2008,101610.10577976688
mm,2009,94539.0698597597
mm,2010,95502.80578884673
mm,2011,83124.76198668765
mm,2012,87265.38591223898
mm,2013,84556.89968621025
mm,2014,88852.14586530632
mm,2015,112701.04765330584
mm,2016,113231.1950675502
ms,2001,122826.68042334511
ms,2002,156690.69533044143
ms,2003,150186.4704404408
ms,2004,140479.88119796748
ms,2005,151489.42383062726
ms,2006,184134.17069900612
ms,2007,180856.2669358788
ms,2008,161327.09935369217
ms,2009,146125.76887923063
ms,2010,128849.17435006624
ms,2011,146725.75029579655
ms,2012,192751.2674766097
ms,2013,210603.36171725972
ms,2014,222221.9917488333
ms,2015,275024.54239394236
ms,2016,272351.88436606404
nt,2001,73085.6071506446
nt,2002,74340.61415026536
nt,2003,84521.84088150218
nt,2004,89405.13514004457
nt,2005,77076.359377044
nt,2006,81396.39346197202
nt,2007,90088.3491376813
nt,2008,82885.28457856223
nt,2009,61889.893654116364
nt,2010,53542.28796542053
nt,2011,45525.61975417823
nt,2012,57916.79105695717
nt,2013,59904.56827411623
nt,2014,72935.58817754021
nt,2015,69173.73336574998
nt,2016,81408.70094138506
ot,2001,31632.123083818373
ot,2002,33185.8974725481
ot,2003,35093.2230636566
ot,2004,50278.53669672585
ot,2005,61245.51056958064
ot,2006,60545.53528448135
ot,2007,56219.84049471318
ot,2008,40743.50655111033
ot,2009,23826.423484782164
ot,2010,19561.35678309843
ot,2011,54091.542946658905
ot,2012,83307.75756907863
ot,2013,58344.7332341183
ot,2014,51440.84610047421
ot,2015,57508.90207749164
ot,2016,54444.33682934024
ph,2001,97153.05465357834
ph,2002,105938.06340884978
ph,2003,104400.85323775644
ph,2004,119193.90707311446
ph,2005,130939.82717233905
ph,2006,156369.6325372304
ph,2007,184506.26184902876
ph,2008,181773.7789074506
ph,2009,134452.31515773648
ph,2010,145466.01499934058
ph,2011,173271.40031906878
ph,2012,162905.76138832472
ph,2013,141476.13179500547
ph,2014,170690.90036368146
ph,2015,144233.46972638872
ph,2016,144643.04703472438
sb,2001,233456.3374760457
sb,2002,206154.58173551003
sb,2003,214144.4604165906
sb,2004,248378.53265615844
sb,2005,231263.46606819972
sb,2006,264793.1316247266
sb,2007,311822.5249363773
sb,2008,240611.01048058618
sb,2009,208393.31265629438
sb,2010,273078.2262307645
sb,2011,355096.0364264576
sb,2012,368016.64283796836
sb,2013,395536.3183488588
sb,2014,455508.4306967608
sb,2015,535397.6064219553
sb,2016,578269.5704723647
sj,2001,50181.52168110004
sj,2002,58138.454625404804
sj,2003,58191.580959151885
sj,2004,65189.949731826404
sj,2005,51688.70781101342
sj,2006,52470.57521490736
sj,2007,38088.07325537936
sj,2008,38684.90825991778
sj,2009,32067.223134127074
sj,2010,39494.20848286856
sj,2011,43713.212221093425
sj,2012,48487.74364359684
sj,2013,51117.093722932106
sj,2014,43339.2062108873
sj,2015,36396.31780915079
sj,2016,34491.02292152052
sm,2001,99346.519874371
sm,2002,86137.8579131629
sm,2003,85784.50135248226
sm,2004,81894.08487544749
sm,2005,87526.88945308678
sm,2006,91583.49027492417
sm,2007,117248.45047451326
sm,2008,121778.6836219548
sm,2009,106968.58619876334
sm,2010,103188.15437749174
sm,2011,107169.90463293144
sm,2012,90640.3570018462
sm,2013,115118.45814977973
sm,2014,111013.08103767702
sm,2015,104637.7178541544
sm,2016,88016.05408444718
sv,2001,131117.7773045443
sv,2002,106398.19805045836
sv,2003,98530.98624031756
sv,2004,110027.53098275796
sv,2005,95849.00300970284
sv,2006,104417.89641333596
sv,2007,110518.94041874613
sv,2008,117084.96937634164
sv,2009,100929.98327421771
sv,2010,92993.83776191219
sv,2011,104809.16015921542
sv,2012,97263.90418739179
sv,2013,103714.34493533723
sv,2014,108294.54339098721
sv,2015,131036.09664784942
sv,2016,111297.45923963057
tl,2001,108398.83632403535
tl,2002,87070.89238803746
tl,2003,83906.14534239931
tl,2004,124572.11535368174
tl,2005,143784.4689623008
tl,2006,155381.14197677982
tl,2007,149627.42711119918
tl,2008,124430.40009137288
tl,2009,124998.09445166079
tl,2010,116439.19440735657
tl,2011,140039.78428643962
tl,2012,125972.21822071126
tl,2013,193532.1682981667
tl,2014,106921.58290581666
tl,2015,134821.69977837795
tl,2016,133233.49609057815
tm,2001,416667.2049267179
tm,2002,347815.4898491735
tm,2003,368891.1723001957
tm,2004,429233.5543707422
tm,2005,440672.12682174385
tm,2006,542694.8358239693
tm,2007,562034.5053668083
tm,2008,574822.1238362894
tm,2009,435627.2532529012
tm,2010,451486.55393031373
tm,2011,525004.1109069717
tm,2012,575378.6349772473
tm,2013,595197.0427091338
tm,2014,638194.1992135842
tm,2015,741036.5369576308
tm,2016,848078.2673284304
tr,2001,13833.882794255022
tr,2002,12192.798388724057
tr,2003,14160.930848161905
tr,2004,18900.5591141894
tr,2005,16875.21404273944
tr,2006,18742.6771966736
tr,2007,17324.553370549256
tr,2008,22494.46773809615
tr,2009,17142.19460804263
tr,2010,12932.506300343237
tr,2011,12126.227234452062
tr,2012,17378.61113617226
tr,2013,15000.801871270009
tr,2014,11663.054618216298
tr,2015,10600.588777109557
tr,2016,9562.104619931091
vl,2001,172643.90837836036
vl,2002,168820.44803548796
vl,2003,152615.3521868654
vl,2004,174710.24622192
vl,2005,156742.8579232696
vl,2006,160131.59871853632
vl,2007,179436.6269208423
vl,2008,201021.27208004976
vl,2009,165294.1406955543
vl,2010,155605.2539966209
vl,2011,144314.5415903859
vl,2012,134508.91473553638
vl,2013,138364.44326758786
vl,2014,130560.5688916207
vl,2015,138649.21150841372
vl,2016,156281.67438911658
vn,2001,36139.29634039231
vn,2002,37701.48062958061
vn,2003,56098.29923514886
vn,2004,50352.88515839937
vn,2005,53198.99014843248
vn,2006,56240.16859689297
vn,2007,57899.13111810349
vn,2008,61571.099314037674
vn,2009,42794.75157062432
vn,2010,24663.204278928464
vn,2011,33330.51371599964
vn,2012,32622.44376504512
vn,2013,34748.21722899476
vn,2014,30659.490822046482
vn,2015,45919.52697547002
vn,2016,41178.652024860974
vs,2001,21409.588962957205
vs,2002,22221.668451432346
vs,2003,23980.396159676606
vs,2004,34577.22042018113
vs,2005,31491.75373831776
vs,2006,32163.945661364538
vs,2007,39604.70662451896
vs,2008,41308.79461242441
vs,2009,30011.93074648592
vs,2010,33617.56696538234
vs,2011,40265.757593370574
vs,2012,36533.244169972735
vs,2013,32153.50978661151
vs,2014,29567.305226252334
vs,2015,35488.17631944737
vs,2016,34981.33798174336
