,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
Czech Republic,-0.8108441067006354,-0.8696380730946867,-0.7212458860429025,1.4714665356070376,-0.4081452685072403,-0.6133336225739838,-1.2442699997658035,-0.36315051380908087,1.957942992565959,-0.5105110198596666,-0.6427927900606745,0.3989300825075202,-0.9867821319671757,0.9650170463164319,-0.789934911893798,-0.12048805977231372
Democratic People's Republic of Korea,-0.22446825711798388,-0.16819329344970377,-0.2787309257601427,-0.933411744207089,-0.005570407574610072,-0.31810498872410753,1.31488030221551,-0.2866516366645545,-0.5503758408467662,-0.4227092953824227,-0.2573747484050556,-0.09802945074940952,0.5119770058729007,0.14784251300709864,0.24416834317262257,-0.12048805977231372
Democratic Republic of the Congo,1.727546084255843,1.6088001483175864,1.7789636395546904,0.9584258359133573,0.6701802518480193,3.77573206732751,1.178755286152674,0.04120069395484427,-0.9200228268233782,1.6092734710909367,1.6215382046660862,-1.2249376881348415,1.5326836600915736,-1.8496952350823828,1.2655832147412955,-0.12048805977231372
Denmark,-0.9960154276214728,-0.8618442422097424,-1.0900083529452025,1.1508160982984874,-1.364260563222237,-0.8101527118072346,-1.2306574981595197,-0.36315051380908087,0.10970806268289837,-0.5105110198596666,-0.6427927900606745,2.14178816392971,-1.3356312416368485,1.1466113870518393,-0.8280000623870405,-0.12048805977231372
Djibouti,0.7399657060113772,0.6969219347791086,0.7464287322282509,-0.4845011319751187,1.1590211544090703,0.21330655220566974,1.0426302700898382,-0.06808341625162198,-0.8672161145410051,-0.4101661918856736,1.4770064390452293,-1.1339450975385021,1.1838345504219003,-1.3049122128761605,3.631966737071203,-0.12048805977231372
Dominica,-0.5948108989596586,-0.5578848376969165,-0.5958666472961206,0.41332009248882196,-0.8250978030446073,-0.7117431671906091,-1.2714950029783705,-0.36315051380908087,-1.3424765250823636,-0.5105110198596666,-0.6427927900606745,3.9686394059023673,-1.4519142781934062,0.6018283648456171,-0.7772465283960505,-0.12048805977231372
Dominican Republic,-0.3402003326935072,-0.44877120530769693,-0.24185467906991273,-0.0035254760122933326,0.0663179604490739,-0.436196442264058,0.3620051897756592,0.06305751599613749,-0.5767791969879528,-0.43525239887917183,-0.594615534853722,0.2799397717276923,0.2277295831790932,0.23863968337480235,-0.21895765449516089,-0.026909808118162615
Ecuador,-0.3402003326935072,-0.3630390655733101,-0.30823192311232667,-0.06765556347400338,-0.9185526814753966,0.1542608254356945,0.22588017371282337,-0.24293799258196797,-0.12792214258778095,-0.447795502375921,-0.594615534853722,0.4619249529203704,0.09852620922736247,0.4202340241102097,0.07921935770190516,-0.12048805977231372
Egypt,-0.22446825711798388,-0.19936861698948077,-0.24185467906991273,-1.5105825313624794,1.353119748073017,-0.90856225642386,0.498130205838495,-0.36315051380908087,-0.7880060461174453,-0.4603386058726701,-0.594615534853722,0.07695630039739669,0.4344549815018623,0.14784251300709864,-0.6884278439118181,0.11345756936306405
El Salvador,-0.1550290117726699,-0.33965757291847737,0.03840479577583517,-0.933411744207089,-1.069518254325133,0.3904437325155955,0.3620051897756592,-0.17736752645808823,-0.36555234785846,-0.447795502375921,-0.6427927900606745,-0.23101862162098213,0.2794109327597855,0.23863968337480235,-0.47272532445011073,-0.12048805977231372
Equatorial Guinea,1.4729355179896917,1.5932124865476978,1.3290734299338847,0.7660355735282272,0.47608165818407255,1.2367658162185742,0.6342552219013308,0.44555190171876946,-0.6823926215526991,2.4998338193601253,2.9223240952538,-1.0989479473091408,0.7833040911715354,-1.0325207017730496,0.5233127801230674,-0.12048805977231372
Eritrea,0.269321932004249,0.31502422141684006,0.28178802393135305,0.06060461144941671,0.18852818608933666,0.21330655220566974,0.9065052540270024,0.3144109694710099,-0.5503758408467662,1.1953510556982154,0.5616385901131343,-1.1059473773550133,0.9512684773087854,-0.6693320203022347,-0.3458414894726358,-0.12048805977231372
Estonia,-0.08558976642735588,-0.5267095141571395,0.355540517311813,0.6057103548739521,0.4545151477769674,1.2367658162185742,-1.0809199804904004,-0.36315051380908087,3.383724224190034,-0.5105110198596666,-0.6427927900606745,0.7768993049846216,-1.1805871928947718,0.6018283648456171,-0.466381132701237,-0.12048805977231372
